,time,title,detail
10,[' (Thu May\xa0\xa06 10:01:11 2021)'],['[原创]天风研究所银行组（新财富团队）招聘带薪实习生'],['天风证券研究所是业内知名卖方大所，连续多年获得新财富本土最佳研究团队 & 最具影响力研究机构前五名。\xa0\xa0 天风银行组已连续两年入选新财富金融产业研究前三名。\xa0\xa0\xa0\xa0\xa0\xa0 【岗位描述】\xa0\xa0\xa0\xa0\xa0\xa0 1、协助信息搜集、数据库整理更新及初步分析工作，上市公司调研资料整理；\xa0\xa0\xa0\xa0\xa0\xa0 2、协助分析师撰写公司深度报告、专题研究，宏观及银行政策跟踪及点评等；\xa0\xa0\xa0\xa0\xa0\xa0 3、完成分析师交待的其他日常任务；\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 【福利】\xa0\xa0\xa0\xa0\xa0\xa0 1、免费自助食堂;\xa0\xa0\xa0\xa0\xa0\xa0 2、每月领取实习生津贴;\xa0\xa0\xa0\xa0\xa0\xa0 3、可开实习证明;\xa0\xa0\xa0\xa0\xa0\xa0 【岗位要求】：\xa0\xa0 1、全日制在校硕士（含大四保研），金融、经济等相关专业；\xa0\xa0\xa0\xa0\xa0\xa0 2、勤奋好学、能吃苦耐劳，能接受周末加班；\xa0\xa0\xa0\xa0\xa0\xa0 3、热爱投研事业；\xa0\xa0\xa0\xa0\xa0\xa0 4、熟练掌握Excel、PPT技能，会灵活运用Wind、Bloomberg等数据库，擅长从多种渠道\xa0\xa0 获取有价值的信息；\xa0\xa0\xa0\xa0\xa0\xa0 5、时间观念较强，响应迅速，工作任务在规定时间内按要求完成；\xa0\xa0\xa0\xa0\xa0\xa0 6、实习期至少3个月，2022年及之后毕业者优先，有行业研究或银行等相关实习工作经\xa0\xa0 验者优先。\xa0\xa0\xa0\xa0\xa0\xa0 注：自认为不满足条件2和3者，请勿浪费时间投递简历;\xa0\xa0\xa0\xa0\xa0\xa0 【投递方式及其他】\xa0\xa0\xa0\xa0\xa0\xa0 现场实习地点：北京市西城区西单地铁站附近\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  投递邮箱：390467507@qq.com\xa0\xa0\xa0\xa0\xa0\xa0 投递要求：请发送简历（附照），邮件主题及简历名称请按“姓名-学校-专业-毕业时\xa0\xa0 间-可实习时间”，若有写过的研究报告等可展现研究实力的材料/作品，可一并放在附\xa0\xa0 件中。\xa0\xa0 -- \xa0\xa0 ']
11,[' (Thu May\xa0\xa06 13:32:53 2021)'],['【实习】首创证券-研究所-建材组实习生招聘'],['职责：  1、\xa0\xa0\xa0\xa0搜集行业信息，撰写行业研究报告；  2、\xa0\xa0\xa0\xa0整理公司资料，撰写公司研究报告；  3、\xa0\xa0\xa0\xa0协助分析师完成其他日程工作，包括整理日报、周报、整理数据库及会议资料。 \xa0\xa0 要求：  1、\xa0\xa0\xa0\xa0研究生学历，国内重点高校；  2、\xa0\xa0\xa0\xa0对证券研究感兴趣，会主动思考；  3、\xa0\xa0\xa0\xa0实习期间不短于3月，每周不少于3天；  4、\xa0\xa0\xa0\xa0及时响应工作需求，并按时保证质量完成工作安排。 \xa0\xa0 地点：  北京积水潭 \xa0\xa0 联系：  jiaojunkai@sczq.com.cn，邮件主题“姓名-学校-毕业时间”，例如“凯文-清华大学- 2023年6月” \xa0\xa0 -- \xa0\xa0 ']
12,[' (Thu May\xa0\xa06 16:34:25 2021)'],['【上海实习】华创证券研究所家电组研究助理招聘'],['【工作内容】  1、配合团队进行行业基础数据与资料的搜集、整理及初步分析；  2、协助团队完成行业专题报告，公司报告的撰写；  3、协助团队进行周报撰写、公司事件点评和财报点评；  4、其他相关研究工作。 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 【优势福利】\xa0\xa0\xa0\xa0  1、行业研究框架学习机会；  2、经答辩后可提供一定的实习补助；  3、对1-2个细分行业、几个标的公司有一定深度理解。  4、获得足够逻辑能力，能辅助/独立撰写行业/公司研究报告  5、不定期读书会及培训交流，聆听不同行业研究员经验分享；  6、表现优异者将进入留用序列，有留用机会。 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 【职位要求】  1、重点高校金融相关专业在读，电子专业有金融基础也可考虑，仅面向大四已保研至研一学生（2022年及以后毕业）；  2、有意愿从事证券行业研究相关工作，吃苦耐劳，工作细致，有一定抗压能力；  3、每周工作4天以上，持续实习3个月以上，可尽快到岗；  4、能够熟练使用Wind优先，有相关实习经历及相关资格证书优先。 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 【工作地点】  上海陆家嘴花旗集团大厦。 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 【简历投递】  简历以及邮件请以“姓名-学校-专业-毕业时间-何时到岗-实习多久-每周几天”命名；  投递邮箱：qin_yichao@outlook.com  我们将尽快安排面试，请有意者抓紧时间投递。  -- \xa0\xa0 ']
13,[' (Thu May\xa0\xa06 12:20:03 2021)'],['【实习】京东科技-宏观研究院-【金融数据实习生】'],"['岗位职责  1、整理宏观和金融市场数据图表  2、维护和开发数据图库和报告模板  3、支持量化分析模型  4、其他 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 资历要求  必备项：  1、重点院校大四及以上，金融工程或统计、计算机专业（其他专业优秀者亦可）  2、熟练掌握EXCEL，并有万得/同花顺/彭博等使用经验  3、可实习不低于4个月,每周四天以上  4、较好掌握VBA和Python  加分项：  1、全勤/能尽快入职者优先  2、有卖方实习经验优先  3、细心、热情者优先 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 简历请发送至：jiheng@jd.com和zhangjiayi@jd.com  标题请注明：学校+专业+学历+姓名+计划实习时间+每周到岗几天+最早到岗时间  例：XX大学_XX专业_大四_张三_4个月_5天_10月31日  -- \xa0\xa0 ']"
14,[' (Thu May\xa0\xa06 10:36:25 2021)'],['【实习】【启迪控股】日语实习生'],['岗位名称：日语实习生\xa0\xa0 隶属部门：启迪控股总部·国际合作部\xa0\xa0 工作地点：北京市海淀区清华科技园\xa0\xa0 岗位需求：实习2人 \xa0\xa0\xa0\xa0  岗位职责：\xa0\xa0 1、协助领导组织策划中日线上、线下科技创新活动、论坛活动；\xa0\xa0 2、日本项目文案翻译、文案的撰写，会议商务交流口语翻译；\xa0\xa0 3、负责与合作伙伴的沟通协调；\xa0\xa0 4、配合领导挖掘新的项目合作。\xa0\xa0\xa0\xa0\xa0\xa0  任职要求：\xa0\xa0 1、日语专业八级，日语功底扎实、听说读写流畅，可胜任商务口笔译；\xa0\xa0 2、每周1-2天，平时不坐班，会议、活动需到场办公，  3、招假期实习，能连续工作3个月以上者优先考虑；\xa0\xa0 4、形象好，热情开朗，细致善于学习；\xa0\xa0 5、有活动组织经验、交换或留学经验优先。\xa0\xa0\xa0\xa0\xa0\xa0 工作地点：北京市海淀区清华科技园\xa0\xa0\xa0\xa0\xa0\xa0 薪酬待遇：  按日结算，100元/天+午餐，优秀人才欢迎面议\xa0\xa0 可开实习证明，表现优秀者可推荐至日本大企业工作\xa0\xa0\xa0\xa0\xa0\xa0 联系方式：hr@tuspark.com\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0邮件标题请务必写清“日语实习+姓名” \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 ——————————————————————————————\xa0\xa0\xa0\xa0\xa0\xa0 公司简介：\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0启迪控股股份有限公司（以下简称：启迪控股）成立于2000年7月，其前身是成立于1994年8月的清华科技园发展中心。启迪控股是一家依托清华大学设立的聚焦科技服务领域的科技投资控股集团，是清华科技园开发建设与运营管理单位，是首批国家现代服务业示范单位。公司控（参）股启迪药业、启迪环境、世纪互联、BIOREM、启迪国际、启迪设计、绿盟科技、中文在线、北控清洁能源、兆易创新、中航讯、图卫科技等上市及非上市企业800多家，管理总资产规模近2000亿元人民币。\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 作为启迪控股的旗舰产品，清华科技园（TusPark）园区总面积77万平方米，入驻企业超过1500家。目前，清华科技园已经成为跨国公司研发总部、中国科技企业总部和创新创业企业的聚集地，是清华大学服务社会功能的重要平台，是推动区域自主创新的重要平台，已经发展成为中国乃至世界科技园行业的知名品牌。\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 经过20多年的发展与探索，启迪控股在科技园区规划建设和运营管理领域积累了丰富的经验，形成了一支高素质的经营管理队伍，积极推动创新资源与区域经济的有机互动，成功构建起以超过300个孵化器、科技园、科技城为载体的全球创新服务网络，辐射网络覆盖北京、上海、广州、深圳等中国大陆各主要城市以及香港、澳门、美国、英国、意大利、俄罗斯、澳大利亚、瑞士、荷兰、瑞典、韩国、泰国、埃及、巴西等国内外80多个城市及地区，成为中国科技创新体系中的一支主力军。\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 启迪控股积极响应国家创新驱动发展战略，落实清华大学服务社会职能，构建了全球创新网络建设和运营、全链条科技企业孵化投资和科技产业集群管理三大创新业务体系，形成了独特的“技术、产业、资本”、“园区、实业、金融”、“政府、企业、大学”立体三螺旋发展模式。在深入落实校企改革精神的指引下，启迪控股明确提出了新时代的三大战略：雄安战略、军民融合战略和一带一路战略。在“致力于成为科技服务业的中国引领者和全球典范”、“成为战略性新兴产业发动机”的总目标下，以“立体三螺旋”模式为实践抓手，启迪控股将聚焦“新产业+新基建”的“双新”道路，以政企深度融合的“双向”路径推动科技服务创新。坚守“科技成果转化，创业企业孵化，创新人才培育”的初心和使命，启迪控股将全力投身科技报国与科技强国事业，为国家和平发展贡献科创力量!\xa0\xa0\xa0\xa0\xa0\xa0 --  启迪控股招聘邮箱：hr@tuspark.com \xa0\xa0 启迪控股网址：www.tusholdings.com  清华科技园网址：www.tuspark.com \xa0\xa0\xa0\xa0 ']
15,[' (Thu May\xa0\xa06 16:44:10 2021)'],['【实习&校招】【快手科技】电商数据分析实习生招聘'],['快手招聘电商业务商业数据分析实习生，大四保研、gap year、能保证长期时间投入的同学优先\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  另，本岗位也在同时进行社招内推，有兴趣的同学欢迎前来投递、咨询！\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0 工作地点：西二旗 快手总部\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  工作时间（硬性要求）：要求全职实习，每周需到岗5个工作日，能够连续实习不短于6个月，表现优异有转正机会\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 岗位要求：\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 希望有比较强的求生欲——遇到不会做的事情，有快速学会的勇气\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  需熟练使用sql，会python、R者加分\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  计算机、统计学、数学、经济学、金融、工程或其他相关专业加分\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  严谨的逻辑思考能力，做分析类case需要反复深究\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  有互联网行业实习经验者加分，对直播、视频行业有了解加分\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 工作内容：\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  以定量/定性方法分析解决短视频、直播业务产品和运营中遇到的商业分析问题，完成数据分析、问题诊断、策略设计与结果评估，协助提升相关数据指标\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  完成可视化看板、用户调研等其它分析任务\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 福利待遇：\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 0、非北京高校&非北京户籍的优秀实习生可申请租房补贴\xa0\xa0\xa0\xa0\xa0\xa0  1、足够宽的业务跨度，研究涉及短视频/直播领域的方方面面（公司/业务战略、产品、运营、增长……）\xa0\xa0\xa0\xa0  2、可以直接与咨询行业、互联网行业经验丰富的前辈大牛们共事  3、与来自清北复交、Columbia、Chicago等名校的小伙伴共同学习成长  4、免费三餐、下午茶、热冷饮、健身房、按摩椅、电玩、雪糕、聚餐等  5、表现优秀有转正机会\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 备注：\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 来信请勿设置已读回执\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  请写全所有教育/工作经历\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  简历中请注明微信号和国内手机号\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0  务必在简历和邮件中注明毕业时间、预计实习期的起止时间\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 简历请投递至：wangkai07@kuaishou.com，务必在简历和邮件中注明毕业时间、预计实习期的起止时间  -- \xa0\xa0 ']
16,[' (Mon May\xa0\xa03 18:16:28 2021)'],['实习/博后 阿联酋人工智能大学'],"['世界第一所人工智能大学博士后及研究助理职位招聘  Postdoctoral Research Fellow\xa0\xa0and Research Assistant Openings at MBZUAI, UAE \xa0\xa0 阿联酋人工智能大学Bin Gu(https://mbzuai.ac.ae/pages/bin-gu/)和Huan Xiong(https://mbzuai.ac.ae/pages/huan-xiong/)的研究组最近要招聘多名研究助理（Research Assistant）和博士后（Postdoctoral Research Fellow），主要研究任务是围绕Spiking Neural Networks在国际知名学术杂志以及会议上发表研究成果。具体招聘需求如下： \xa0\xa0 招聘：  1. 项目博士后：主要围绕Spiking Neural Networks展开项目研究，2个名额。  2. 普通博士后：围绕各种机器学习问题自由展开研究，1个名额。  3. 研究助理若干。 \xa0\xa0 基本要求：  1、 有良好的研究态度，对工作认真、严谨、负责；  2、 数学类课程掌握扎实，具有良好的理论素质；  3、 优先考虑具有相关领域研究工作经历、在知名国际会议(e.g., ICML, NeurIPS, ICLR, AAAI,\xa0\xa0CVPR, ICCV) 或者杂志上(e.g., JMLR, T-PAMI)发表过研究成果的申请者。 \xa0\xa0 工资待遇：  课题组将为博士后提供有竞争力的薪资待遇；充分的学术自由以从事前沿研究并发表顶级水平论文的研究环境；立即开始研究工作所需的尖端实验条件。 \xa0\xa0 联系方式：如果您感兴趣，请将个人简历及发送至bin.gu@mbzuai.ac.ae\xa0\xa0或者 huan.xiong@mbzuai.ac.ae  -- \xa0\xa0 ']"
17,[' (Thu May\xa0\xa06 16:53:00 2021)'],['个人提供英语和日语一对一家教辅导（纯个人）'],['英语辅导20年，年年有收获，桃李满天下。本人提供：中考英语、高考英语、考研英语、公共英语、雅思、商务英语、英语口语、日语一对一上门家教辅导。非中介、非机构、纯个人。联系：姚五岭 要o三贰令叁贰三  -- \xa0\xa0 ']
18,[' (Mon May\xa0\xa03 13:52:03 2021)'],['招聘：【北京】华泰证券-华泰创新-股权投资团队 招聘实习生'],['招聘：【北京】华泰证券-华泰创新-股权投资团队 招聘实习生 \xa0\xa0  工作方向：风险投资（PE/VC）——科技方向（暂无实习留用机会） \xa0\xa0  你需要做的:  1、进行信息收集，公司案例研究及投资项目Note撰写；  2、撰写科技相关细分领域（云计算、基础软件、商业智能、人工智能、金融科技等）的研究报告；  3、配合投资经理完成项目尽调以及立项会/投委会材料的撰写；  4、配合投资经理完成项目投后管理的相关工作；  5、投资经理安排的其他相关工作。 \xa0\xa0  希望你是：  1、每周保证4天及以上的工作时间，能够长期全职实习者优先，有VC/PE实习经历优先；  2、TOP院校已保研或硕士低年级在读，具备一定经济、金融、管理类专业知识，具有计算机复合教育背景优先；  3、具有较强的逻辑思维和研究能力，善于结构化思维和解构复杂性；  4、辩证思维、独立思考、证伪主义、勤奋务实、好奇心强、自我驱动；  5、对于科技行业有极大热情，将来有志于从事VC/PE投资工作。 \xa0\xa0  工作地点：北京金融街 \xa0\xa0  简历投递：yuyf15@tsinghua.org.cn  （标题备注：姓名+学校+年级+每周实习天数） \xa0\xa0  截止日：2021年5月11日  -- \xa0\xa0 ']
19,[' (Thu May\xa0\xa06 14:05:34 2021)'],['北京益源信通医疗科技有限公司招聘实习生，工程师'],['北京益源信通医疗科技有限公司是一家专注于医疗信息化，医疗大数据和医疗人工智能的高科技公司，现因业务需要，招聘高级工程师，工程师，实习生若干名，岗位需求如下：\xa0\xa0 1.全日制本科应届毕业生（校招），研究生一年级或二年级（实习生）\xa0\xa0 2.有扎实的计算机专业知识基础，\xa0\xa0 3.熟练掌握Java编程语言，\xa0\xa0 4.计算机，信息通信等专业优先，\xa0\xa0 5.有良好的沟通能力，对待工作认真负责。\xa0\xa0 有意者发送简历到172172660@qq.com，简历筛选合格者安排笔试面试，工资面议。\xa0\xa0 -- \xa0\xa0 ']
